test_name task_name gold_standard_file coverage model model_configuration metric score_value
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.1 accuracy 0.7027777777777777
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=1.0 accuracy 0.8088888888888889
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=10.0 accuracy 0.822037037037037
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=100 accuracy 0.802962962962963
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=1000 accuracy 0.795
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 NB - accuracy 0.8788888888888889
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 KNN K=3 accuracy 0.8952222222222224
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 C45 - accuracy 0.7287777777777776
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=0.001 accuracy 0.766
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=0.01 accuracy 0.766
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=0.1 accuracy 0.9061111111111112
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=1.0 accuracy 0.9875555555555556
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=10.0 accuracy 0.9908888888888888
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=100 accuracy 0.9908888888888888
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=1000 accuracy 0.9908888888888888
./ikgrc_embeddings/ikgrc_rdfstar2vec_5_5_d7_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 NB - accuracy 0.8270370370370372
./ikgrc_embeddings/ikgrc_rdfstar2vec_5_5_d7_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 KNN K=3 accuracy 0.7755555555555557
./ikgrc_embeddings/ikgrc_rdfstar2vec_5_5_d7_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 C45 - accuracy 0.6553703703703702
./ikgrc_embeddings/ikgrc_rdfstar2vec_5_5_d7_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.001 accuracy 0.8585185185185183
./ikgrc_embeddings/ikgrc_rdfstar2vec_5_5_d7_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.01 accuracy 0.8585185185185183
./ikgrc_embeddings/ikgrc_rdfstar2vec_5_5_d7_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.1 accuracy 0.8772222222222223
./ikgrc_embeddings/ikgrc_rdfstar2vec_5_5_d7_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=1.0 accuracy 0.955555555555556
./ikgrc_embeddings/ikgrc_rdfstar2vec_5_5_d7_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=10.0 accuracy 0.9644444444444444
./ikgrc_embeddings/ikgrc_rdfstar2vec_5_5_d7_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=100 accuracy 0.9607407407407408
./ikgrc_embeddings/ikgrc_rdfstar2vec_5_5_d7_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=1000 accuracy 0.96
./ikgrc_embeddings/ikgrc_rdfstar2vec_5_5_d7_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 NB - accuracy 0.8457777777777776
./ikgrc_embeddings/ikgrc_rdfstar2vec_5_5_d7_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 KNN K=3 accuracy 0.8793333333333335
./ikgrc_embeddings/ikgrc_rdfstar2vec_5_5_d7_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 C45 - accuracy 0.7150000000000001
